blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,room_type,units,postal,latitude,longitude,town,country,population,town_latitude,town_longitude
48,MOH GUAN TER,4,1949,BM,total_dwelling_units,15,161048,1.2838,103.8309,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
28,TIONG BAHRU RD,4,1949,BM,total_dwelling_units,12,163028,1.2859,103.8304,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
58,STRATHMORE AVE,30,1999,QT,total_dwelling_units,123,142058,1.2931,103.8107,Queenstown,Singapore,98050,1.294167,103.786128
59,STRATHMORE AVE,30,1999,QT,total_dwelling_units,137,142059,1.2930000000000001,103.8112,Queenstown,Singapore,98050,1.294167,103.786128
9,REDHILL CL,7,1955,BM,total_dwelling_units,42,151009,1.285,103.8163,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
11,REDHILL CL,7,1955,BM,total_dwelling_units,42,151011,1.2855,103.8164,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
14,REDHILL CL,7,1955,BM,total_dwelling_units,42,151014,1.2853,103.8172,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
18,REDHILL CL,7,1955,BM,total_dwelling_units,41,151018,1.2859,103.8181,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
9,PINE CL,12,1996,GL,total_dwelling_units,77,390009,1.3093,103.8825,Geylang,Singapore,116960,1.3205559999999998,103.886944
82,STRATHMORE AVE,24,1996,QT,total_dwelling_units,117,141082,1.2947,103.8086,Queenstown,Singapore,98050,1.294167,103.786128
83,STRATHMORE AVE,21,1995,QT,total_dwelling_units,81,141083,1.2949,103.8081,Queenstown,Singapore,98050,1.294167,103.786128
14,OLD AIRPORT RD,7,1958,GL,total_dwelling_units,56,390014,1.3069,103.8845,Geylang,Singapore,116960,1.3205559999999998,103.886944
22,OLD AIRPORT RD,7,1958,GL,total_dwelling_units,56,390022,1.3072,103.885,Geylang,Singapore,116960,1.3205559999999998,103.886944
13,OLD AIRPORT RD,3,1958,GL,total_dwelling_units,14,390013,1.3069,103.8837,Geylang,Singapore,116960,1.3205559999999998,103.886944
21,OLD AIRPORT RD,3,1958,GL,total_dwelling_units,14,390021,1.3073,103.8845,Geylang,Singapore,116960,1.3205559999999998,103.886944
19,JLN MEMBINA,30,2001,BM,total_dwelling_units,156,163019,1.2857,103.8262,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
20,JLN MEMBINA,30,2001,BM,total_dwelling_units,156,164020,1.2857,103.8259,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
21,JLN MEMBINA,30,2001,BM,total_dwelling_units,196,163021,1.2852,103.8255,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
22,JLN MEMBINA,30,2001,BM,total_dwelling_units,156,166022,1.2847,103.8265,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
129,CLARENCE LANE,20,1994,QT,total_dwelling_units,95,140129,1.2930000000000001,103.8143,Queenstown,Singapore,98050,1.294167,103.786128
130,CLARENCE LANE,20,1994,QT,total_dwelling_units,95,140130,1.2928,103.8146,Queenstown,Singapore,98050,1.294167,103.786128
131,CLARENCE LANE,16,1994,QT,total_dwelling_units,59,140131,1.2926,103.8146,Queenstown,Singapore,98050,1.294167,103.786128
132,CLARENCE LANE,11,1994,QT,total_dwelling_units,50,140132,1.2922,103.815,Queenstown,Singapore,98050,1.294167,103.786128
133,CLARENCE LANE,11,1994,QT,total_dwelling_units,40,140133,1.2925,103.8146,Queenstown,Singapore,98050,1.294167,103.786128
45,STIRLING RD,7,1961,QT,total_dwelling_units,112,140045,1.2974,103.8029,Queenstown,Singapore,98050,1.294167,103.786128
48,STIRLING RD,7,1961,QT,total_dwelling_units,112,141048,1.2978,103.8017,Queenstown,Singapore,98050,1.294167,103.786128
49,STIRLING RD,7,1961,QT,total_dwelling_units,96,141049,1.2976,103.8022,Queenstown,Singapore,98050,1.294167,103.786128
99,OLD AIRPORT RD,10,1962,GL,total_dwelling_units,108,390099,1.3084,103.8883,Geylang,Singapore,116960,1.3205559999999998,103.886944
21,QUEEN'S CL,18,1994,QT,total_dwelling_units,103,140021,1.2933,103.7999,Queenstown,Singapore,98050,1.294167,103.786128
22,QUEEN'S CL,17,1994,QT,total_dwelling_units,73,140022,1.2936,103.7994,Queenstown,Singapore,98050,1.294167,103.786128
35,JLN RUMAH TINGGI,22,1997,BM,total_dwelling_units,116,150035,1.288,103.8091,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
36,JLN RUMAH TINGGI,22,1998,BM,total_dwelling_units,116,150036,1.2884,103.8089,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
12,MERPATI RD,10,1961,GL,total_dwelling_units,119,370012,1.3274,103.8843,Geylang,Singapore,116960,1.3205559999999998,103.886944
13,MERPATI RD,10,1961,GL,total_dwelling_units,120,370013,1.3275,103.8837,Geylang,Singapore,116960,1.3205559999999998,103.886944
14,MERPATI RD,10,1961,GL,total_dwelling_units,120,370014,1.3275,103.8831,Geylang,Singapore,116960,1.3205559999999998,103.886944
20,JLN TENTERAM,10,1962,KWN,total_dwelling_units,320,320020,1.3269,103.8596,Kallang,Singapore,101210,1.31083,103.86556
21,JLN TENTERAM,10,1962,KWN,total_dwelling_units,320,320021,1.3263,103.8598,Kallang,Singapore,101210,1.31083,103.86556
22,JLN TENTERAM,10,1962,KWN,total_dwelling_units,118,320022,1.3265,103.8596,Kallang,Singapore,101210,1.31083,103.86556
2,JLN BT HO SWEE,10,1962,BM,total_dwelling_units,120,162002,1.2871,103.8319,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
4,JLN BT HO SWEE,9,1962,BM,total_dwelling_units,55,162004,1.2872,103.8312,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
10,JLN BT HO SWEE,10,1962,BM,total_dwelling_units,120,161010,1.2873,103.8327,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
37,JLN RUMAH TINGGI,12,1963,BM,total_dwelling_units,199,150037,1.2891,103.8092,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
38,JLN RUMAH TINGGI,22,1995,BM,total_dwelling_units,105,150038,1.2890000000000001,103.8097,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
39,JLN RUMAH TINGGI,22,1995,BM,total_dwelling_units,105,151039,1.2888,103.81,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
40,JLN RUMAH TINGGI,22,1996,BM,total_dwelling_units,105,151040,1.2889,103.81,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
7,JLN BATU,10,1963,KWN,total_dwelling_units,95,431007,1.3024,103.8837,Kallang,Singapore,101210,1.31083,103.86556
8,JLN BATU,10,1963,KWN,total_dwelling_units,95,431008,1.3027,103.8831,Kallang,Singapore,101210,1.31083,103.86556
8,SELEGIE RD,10,1963,CT,total_dwelling_units,108,180008,1.3032,103.8501,Central Area,Singapore,939890,1.300556,103.821667
9,SELEGIE RD,20,1963,CT,total_dwelling_units,299,180009,1.3036,103.8501,Central Area,Singapore,939890,1.300556,103.821667
10,SELEGIE RD,10,1963,CT,total_dwelling_units,48,180010,1.3038,103.8505,Central Area,Singapore,939890,1.300556,103.821667
26,JLN KLINIK,10,1963,BM,total_dwelling_units,107,160026,1.288,103.8287,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
34,JLN BT HO SWEE,10,1963,BM,total_dwelling_units,97,160034,1.2879,103.82700000000001,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
36,BEO CRES,10,1963,BM,total_dwelling_units,94,160036,1.2884,103.8272,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
38,BEO CRES,10,1963,BM,total_dwelling_units,97,160038,1.2885,103.8272,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
40,BEO CRES,10,1963,BM,total_dwelling_units,96,160040,1.2893,103.8271,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
4,JLN MINYAK,12,1964,CT,total_dwelling_units,156,163004,1.288,103.8388,Central Area,Singapore,939890,1.300556,103.821667
5,JLN MINYAK,12,1964,CT,total_dwelling_units,143,161005,1.2878,103.8381,Central Area,Singapore,939890,1.300556,103.821667
6,JLN MINYAK,12,1964,CT,total_dwelling_units,156,162006,1.2875,103.8375,Central Area,Singapore,939890,1.300556,103.821667
22,HAVELOCK RD,16,1964,BM,total_dwelling_units,280,160022,1.2889,103.8289,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
42,BEO CRES,10,1964,BM,total_dwelling_units,126,160042,1.2894,103.8268,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
44,BEO CRES,10,1964,BM,total_dwelling_units,126,160044,1.2887,103.8269,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
46,JLN BT HO SWEE,10,1964,BM,total_dwelling_units,105,160046,1.2882,103.8261,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
48,LOWER DELTA RD,12,1964,BM,total_dwelling_units,382,160048,1.2893,103.8259,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
103,C'WEALTH CRES,10,1964,QT,total_dwelling_units,99,140103,1.3078,103.8003,Queenstown,Singapore,98050,1.294167,103.786128
104,C'WEALTH CRES,10,1964,QT,total_dwelling_units,99,140104,1.3078,103.8,Queenstown,Singapore,98050,1.294167,103.786128
106,C'WEALTH CRES,10,1964,QT,total_dwelling_units,99,140106,1.3077,103.7997,Queenstown,Singapore,98050,1.294167,103.786128
107,C'WEALTH CRES,10,1964,QT,total_dwelling_units,99,140107,1.3075,103.7993,Queenstown,Singapore,98050,1.294167,103.786128
41,CIRCUIT RD,18,1994,GL,total_dwelling_units,44,370041,1.3271,103.88600000000001,Geylang,Singapore,116960,1.3205559999999998,103.886944
42,CIRCUIT RD,18,1994,GL,total_dwelling_units,82,370042,1.3271,103.8864,Geylang,Singapore,116960,1.3205559999999998,103.886944
64,CIRCUIT RD,10,1965,GL,total_dwelling_units,104,370064,1.3272,103.8876,Geylang,Singapore,116960,1.3205559999999998,103.886944
65,CIRCUIT RD,10,1965,GL,total_dwelling_units,106,370065,1.3273,103.8873,Geylang,Singapore,116960,1.3205559999999998,103.886944
35,CIRCUIT RD,16,1965,GL,total_dwelling_units,140,370035,1.329,103.8861,Geylang,Singapore,116960,1.3205559999999998,103.886944
36,CIRCUIT RD,16,1965,GL,total_dwelling_units,140,370036,1.3289,103.8868,Geylang,Singapore,116960,1.3205559999999998,103.886944
28,BALAM RD,19,1995,GL,total_dwelling_units,89,370028,1.3308,103.8865,Geylang,Singapore,116960,1.3205559999999998,103.886944
29,BALAM RD,19,1995,GL,total_dwelling_units,89,370029,1.3301,103.8868,Geylang,Singapore,116960,1.3205559999999998,103.886944
33,BALAM RD,20,1994,GL,total_dwelling_units,94,370033,1.3296,103.8862,Geylang,Singapore,116960,1.3205559999999998,103.886944
27,BALAM RD,19,1995,GL,total_dwelling_units,89,370027,1.3301,103.8865,Geylang,Singapore,116960,1.3205559999999998,103.886944
68,CIRCUIT RD,10,1965,GL,total_dwelling_units,120,370068,1.3256,103.8881,Geylang,Singapore,116960,1.3205559999999998,103.886944
70,CIRCUIT RD,10,1965,GL,total_dwelling_units,120,370070,1.3256,103.8881,Geylang,Singapore,116960,1.3205559999999998,103.886944
71,CIRCUIT RD,10,1965,GL,total_dwelling_units,100,370071,1.3248,103.88799999999999,Geylang,Singapore,116960,1.3205559999999998,103.886944
72,CIRCUIT RD,10,1965,GL,total_dwelling_units,100,370072,1.3244,103.8879,Geylang,Singapore,116960,1.3205559999999998,103.886944
51,CIRCUIT RD,10,1965,GL,total_dwelling_units,100,370051,1.3247,103.8855,Geylang,Singapore,116960,1.3205559999999998,103.886944
52,CIRCUIT RD,10,1965,GL,total_dwelling_units,120,370052,1.3242,103.8851,Geylang,Singapore,116960,1.3205559999999998,103.886944
37,CIRCUIT RD,16,1965,GL,total_dwelling_units,570,370037,1.3283,103.8865,Geylang,Singapore,116960,1.3205559999999998,103.886944
50,HAVELOCK RD,10,1966,BM,total_dwelling_units,96,160050,1.2899,103.8269,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
46,LOR 5 TOA PAYOH,13,1992,TP,total_dwelling_units,90,310046,1.3366,103.8535,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
48,LOR 5 TOA PAYOH,20,1992,TP,total_dwelling_units,87,310048,1.3372,103.8539,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
49,LOR 5 TOA PAYOH,20,1992,TP,total_dwelling_units,87,310049,1.3376,103.8531,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
10,JLN BATU,12,1966,KWN,total_dwelling_units,132,431010,1.3022,103.883,Kallang,Singapore,101210,1.31083,103.86556
11,JLN BATU,12,1966,KWN,total_dwelling_units,132,431011,1.3016,103.8825,Kallang,Singapore,101210,1.31083,103.86556
55,LENGKOK BAHRU,16,1966,BM,total_dwelling_units,420,151055,1.2875,103.8133,Bukit Merah,Singapore,152790,1.281906,103.82391899999999
68,LOR 5 TOA PAYOH,12,1966,TP,total_dwelling_units,240,310068,1.3347,103.8535,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
54,LOR 5 TOA PAYOH,12,1967,TP,total_dwelling_units,176,310054,1.3375,103.8504,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
55,LOR 5 TOA PAYOH,12,1967,TP,total_dwelling_units,176,310055,1.3375,103.8512,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
56,LOR 4 TOA PAYOH,10,1966,TP,total_dwelling_units,140,310056,1.3367,103.8503,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
58,LOR 4 TOA PAYOH,10,1966,TP,total_dwelling_units,138,310058,1.3367,103.8505,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
60,LOR 4 TOA PAYOH,30,1998,TP,total_dwelling_units,145,310060,1.3366,103.8507,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
62,LOR 4 TOA PAYOH,30,1998,TP,total_dwelling_units,145,310062,1.3363,103.8514,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
63,LOR 5 TOA PAYOH,12,1966,TP,total_dwelling_units,237,310063,1.3359999999999999,103.8524,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
64,LOR 5 TOA PAYOH,12,1966,TP,total_dwelling_units,239,310064,1.3359999999999999,103.8525,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
2,JLN KUKOH,12,1966,CT,total_dwelling_units,264,163002,1.2884,103.8396,Central Area,Singapore,939890,1.300556,103.821667
3,JLN KUKOH,16,1966,CT,total_dwelling_units,270,161003,1.2882,103.8395,Central Area,Singapore,939890,1.300556,103.821667
