financial_year,town_or_estate,hdb_or_dbss,Completed,Under Construction,New_Construction,population,new_population
2008,Ang Mo Kio,HDB,0,1221,1221,148200,0
2009,Ang Mo Kio,HDB,0,1221,0,151700,3500
2010,Ang Mo Kio,HDB,889,332,0,152800,1100
2011,Ang Mo Kio,HDB,332,256,256,154400,1600
2012,Ang Mo Kio,HDB,0,1544,1288,150100,-4300
2013,Ang Mo Kio,HDB,0,1827,283,149600,-500
2014,Ang Mo Kio,HDB,256,1571,0,149800,200
2015,Ang Mo Kio,HDB,0,1571,0,147100,-2700
2016,Ang Mo Kio,HDB,859,1302,590,145700,-1400
2008,Bedok,HDB,572,0,0,197900,0
2009,Bedok,HDB,0,0,0,201300,3400
2010,Bedok,HDB,0,0,0,202500,1200
2011,Bedok,HDB,0,0,0,203800,1300
2012,Bedok,HDB,0,2039,2039,203800,0
2013,Bedok,HDB,0,2585,546,203900,100
2014,Bedok,HDB,423,2162,0,204300,400
2015,Bedok,HDB,1104,1058,0,200700,-3600
2016,Bedok,HDB,0,1718,660,196400,-4300
2008,Bishan,HDB,0,176,176,66500,0
2009,Bishan,HDB,0,176,0,67400,900
2010,Bishan,HDB,176,0,0,67800,400
2011,Bishan,HDB,0,0,0,68300,500
2012,Bishan,HDB,0,0,0,65400,-2900
2013,Bishan,HDB,0,408,408,65700,300
2014,Bishan,HDB,0,408,0,65700,0
2015,Bishan,HDB,0,408,0,65300,-400
2016,Bishan,HDB,408,0,0,64400,-900
2008,Bukit Batok,HDB,0,0,0,109100,0
2009,Bukit Batok,HDB,0,360,360,112100,3000
2010,Bukit Batok,HDB,0,360,0,113100,1000
2011,Bukit Batok,HDB,360,180,180,113400,300
2012,Bukit Batok,HDB,0,1636,1456,113600,200
2013,Bukit Batok,HDB,180,2886,1430,113700,100
2014,Bukit Batok,HDB,700,8340,6154,113800,100
2015,Bukit Batok,HDB,224,10494,2378,111100,-2700
2016,Bukit Batok,HDB,1232,11860,2598,111500,400
2008,Bukit Merah,HDB,0,2718,2718,140600,0
2009,Bukit Merah,HDB,0,2718,0,147000,6400
2010,Bukit Merah,HDB,0,3418,700,147800,800
2011,Bukit Merah,HDB,2718,700,0,150800,3000
2012,Bukit Merah,HDB,0,1610,910,146700,-4100
2013,Bukit Merah,HDB,0,4322,2712,146800,100
2014,Bukit Merah,HDB,2966,3622,2266,147000,200
2015,Bukit Merah,HDB,340,3282,0,145600,-1400
2016,Bukit Merah,HDB,570,2712,0,144800,-800
2008,Bukit Panjang,HDB,0,412,412,110100,0
2009,Bukit Panjang,HDB,0,1183,771,113000,2900
2010,Bukit Panjang,HDB,456,1996,1269,113400,400
2011,Bukit Panjang,HDB,490,4019,2513,115800,2400
